,Record_Number,Value_1,Value_2,Result,Timestamp,FileName
0,1,2,3,2021-12-01 02:49:39.870835,tests/tests_data/addition.csv
172,-6,11,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
173,4,18,22,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
174,-3,-12,-15,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
175,-14,25,11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
176,2,18,20,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
177,23,-24,-1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
178,-3,7,4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
179,-12,-17,-29,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
180,-14,-4,-18,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
181,-7,14,7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
182,-5,-19,-24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
183,13,-7,6,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
184,13,11,24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
185,19,4,23,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
186,6,25,31,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
187,14,-7,7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
188,7,-13,-6,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
189,19,4,23,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
190,1,1,2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
191,1,11,12,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
192,-22,5,-17,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
193,1,-13,-12,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
194,-7,-2,-9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
195,-9,22,13,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
196,24,19,43,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
197,-5,3,-2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
198,23,-21,2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
199,4,-12,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
200,16,24,40,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
201,16,-7,9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
202,1,4,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
203,22,-18,4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
204,13,14,27,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
205,19,-10,9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
206,21,-11,10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
207,-20,-5,-25,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
208,-18,8,-10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
209,-9,-25,-34,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
210,-15,20,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
211,-6,15,9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
212,13,-20,-7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
213,17,-16,1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
214,-12,25,13,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
215,22,-5,17,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
216,0,-4,-4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
217,-4,0,-4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
218,5,12,17,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
219,4,25,29,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
220,-4,-6,-10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
221,23,3,26,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
222,-22,14,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
223,-13,24,11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
224,-15,-23,-38,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
225,6,17,23,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
226,-15,9,-6,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
227,-17,24,7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
228,6,-7,-1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
229,-16,16,0,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
230,-7,-13,-20,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
231,-7,-23,-30,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
232,12,20,32,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
233,-12,11,-1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
234,15,-20,-5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
235,-22,-3,-25,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
236,6,19,25,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
237,-24,0,-24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
238,-15,7,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
239,-3,-24,-27,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
240,-25,-19,-44,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
241,10,0,10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
242,22,14,36,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
243,12,12,24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
244,18,-18,0,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
245,17,18,35,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
246,25,-16,9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
247,16,-17,-1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
248,17,-4,13,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
249,4,25,29,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
250,13,22,35,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
251,18,3,21,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
252,8,-19,-11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
253,-24,-4,-28,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
254,16,12,28,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
255,8,-19,-11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
256,-10,5,-5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
257,22,11,33,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
258,-25,-14,-39,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
259,-23,-19,-42,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
260,6,22,28,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
261,-6,-25,-31,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
262,16,8,24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
263,-1,-18,-19,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
264,-4,9,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
265,13,11,24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
266,-4,2,-2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
267,12,17,29,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
268,11,10,21,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
269,25,-16,9,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
270,-17,-3,-20,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
271,18,22,40,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
272,4,-4,0,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
273,-18,8,-10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
274,-2,-15,-17,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
275,-7,-1,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
276,-10,24,14,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
277,-11,-10,-21,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
278,-10,12,2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
279,-21,-10,-31,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
280,-14,6,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
281,23,15,38,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
282,18,-5,13,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
283,24,-14,10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
284,24,-21,3,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
285,-15,8,-7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
286,-1,-10,-11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
287,8,-10,-2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
288,-9,-24,-33,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
289,13,-16,-3,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
290,-19,11,-8,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
291,-14,-6,-20,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
292,-1,-6,-7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
293,17,22,39,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
294,-18,-15,-33,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
295,-17,-18,-35,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
296,-17,22,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
297,10,-9,1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
298,19,8,27,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
299,5,-11,-6,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
300,-11,4,-7,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
301,-7,-19,-26,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
302,19,-2,17,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
303,-24,-6,-30,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
304,-10,21,11,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
305,24,2,26,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
306,-16,6,-10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
307,-1,5,4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
308,-13,-14,-27,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
309,12,-2,10,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
310,-6,8,2,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
311,-15,-24,-39,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
312,11,-10,1,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
313,-11,-1,-12,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
314,-25,13,-12,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
315,15,-11,4,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
316,0,-22,-22,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
317,-8,13,5,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
318,-3,-21,-24,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
319,22,11,33,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
320,-20,8,-12,2021-12-01 02:49:39.870835,tests/tests_data/addition_large.csv
